Final adopted property tax rates by county and tax area,,
"Taken from Utah State Tax Commission, Property Tax Division, ""2025 Tax Rates by Tax Area""",,
https://files.tax.utah.gov/propertytax/tax-rates/area-rates/taxarearates2025.pdf,,
,,
cnty_name,area_num,rate_final
Tooele,084-0000,0.011117
Tooele,085-0000,0.011117
Tooele,086-0000,0.011117
Tooele,087-0000,0.011497
Tooele,088-0000,0.011117
Tooele,089-0000,0.011513
Tooele,090-0000,0.015497
Uintah,001-0000,0.008138
Uintah,002-0000,0.008252
Uintah,003-0000,0.008407
Uintah,004-0000,0.008644
Uintah,005-0000,0.00874
Uintah,006-0000,0.008116
Uintah,007-0000,0.009
Uintah,008-0000,0.007739
Uintah,009-0000,0.008546
Uintah,010-0000,0.008147
Uintah,011-0000,0.009557
Uintah,012-0000,0.009934
Uintah,014-0000,0.008486
Uintah,015-0000,0.008138
Uintah,016-0000,0.008138
Uintah,017-0000,0.007739
Uintah,019-0000,0.008644
Uintah,019-9900,0.008644
Uintah,021-0000,0.008486
Uintah,022-0000,0.008486
Uintah,023-0000,0.008644
Uintah,024-0000,0.008758
Uintah,026-0000,0.008758
Uintah,028-0000,0.008486
Uintah,029-0000,0.008758
Utah,010-0000,0.008373
Utah,010-0002,0.008373
Utah,010-0003,0.008373
Utah,010-0004,0.008373
Utah,010-0005,0.008373
Utah,010-0006,0.008373
Utah,010-0008,0.008373
Utah,010-0009,0.008373
Utah,010-0010,0.008373
Utah,010-9900,0.008373
Utah,011-0000,0.008362
Utah,011-9908,0.008362
Utah,013-0000,0.00866
Utah,014-0000,0.00832
Utah,017-0000,0.00814
Utah,018-0000,0.009142
Utah,019-0000,0.009322
Utah,020-0000,0.008534
Utah,020-0002,0.008534
Utah,020-0003,0.008534
Utah,021-0000,0.008247
Utah,021-0001,0.008247
Utah,025-0000,0.008314
Utah,030-0001,0.008523
Utah,030-0002,0.008523
Utah,030-9905,0.008523
Utah,034-0000,0.008579
Utah,034-9907,0.008579
Utah,035-0001,0.008303
Utah,035-0002,0.008303
Utah,035-0003,0.008629
Utah,035-8257,0.008303
Utah,035-9800,0.008303
Utah,035-9904,0.008303
Utah,035-9906,0.009377
Utah,038-0000,0.009377
Utah,038-0001,0.009377
Utah,038-0005,0.009377
Utah,038-0007,0.009377
Utah,038-0008,0.009794
Utah,038-0009,0.009377
Utah,038-0010,0.009377
Utah,038-0011,0.009377
Utah,038-0012,0.009377
Utah,039-0000,0.008169
Utah,040-0000,0.008405
Utah,040-0001,0.008405
Utah,040-0002,0.008405
Utah,042-0000,0.00818
Utah,045-0000,0.007944
Utah,045-0001,0.007944
Utah,050-0000,0.00765
Utah,053-0000,0.009794
Utah,053-0001,0.009377
Utah,055-0000,0.007848
Utah,056-0000,0.007848
Utah,056-0001,0.007848
Utah,057-0000,0.008265
Utah,060-0000,0.008736
Utah,060-0001,0.008736
Utah,060-0002,0.008736
Utah,060-0004,0.008736
Utah,060-0005,0.008736
Utah,060-0006,0.008725
Utah,060-0007,0.008736
Utah,060-0008,0.008736
Utah,060-9901,0.008736
Utah,070-0000,0.008383
Utah,070-0001,0.008383
Utah,070-0003,0.008383
Utah,070-0004,0.008383
Utah,070-0005,0.008383
Utah,070-0006,0.008383
Utah,071-0000,0.008372
Utah,080-0000,0.007981
Utah,080-0005,0.007981
Utah,080-0006,0.007981
Utah,085-0000,0.007992
Utah,085-0001,0.007992
Utah,090-0000,0.007964
Utah,090-0007,0.007964
Utah,090-0008,0.007964
Utah,091-0000,0.009112
Utah,095-0000,0.010989
Utah,095-0001,0.010989
Utah,095-0002,0.010989
Utah,095-0003,0.010989
Utah,095-0004,0.010989
Utah,095-0005,0.010989
Utah,095-0006,0.010989
Utah,095-0007,0.010989
Utah,095-0008,0.010989
Utah,096-0000,0.011
Utah,096-0001,0.011
Utah,107-0000,0.008709
Utah,107-9801,0.008709
Utah,108-0000,0.008871
Utah,108-0001,0.008871
Utah,110-0000,0.010019
Utah,110-0004,0.010019
Utah,110-0007,0.010019
Utah,110-0009,0.010019
Utah,110-0012,0.010019
